id,brand,model,mileage,year,link,body_status,price
2623,سوزوکی,گراند ویتارا (مونتاژ),261000,2009,https://bama.ir/car/detail-9r7p8gwx-suzuki-grand-vitara-ir-at2.0-1388,1,465000000
2624,چری,آریزو 5TE  ,4300,2020,https://bama.ir/car/detail-qck9ioys-chery-arrizo5te-at-excellent-1399,1,510000000
2625,پژو,207,0,2021,https://bama.ir/car/detail-ddbwhwky-peugeot-207-mt-1400,1,308000000
2626,کیا,موهاوی,105000,2014,https://bama.ir/car/detail-yoxc7ap-kia-mohave-v6-2014,7,1250000000
2627,رنو,مگان (مونتاژ),157000,2011,https://bama.ir/car/detail-fhw1shd-renault-megan-ir-2000-1390,1,335000000
2628,جک,جی 4,18000,2019,https://bama.ir/car/detail-2yqakb9-jac-j4-1398,1,310000000
2630,پژو,405,42000,2019,https://bama.ir/car/detail-k84138ds-peugeot-405-glx-1398,1,165000000
2631,ام وی ام,110S,101000,2016,https://bama.ir/car/detail-ot6hx63n-mvm-110s-luxury-1395,1,112000000
2632,پژو,206 ,800,2020,https://bama.ir/car/detail-tpo2668n-peugeot-206-ir-type2-1399,1,198000000
2633,رنو,ساندرو,123000,2018,https://bama.ir/car/detail-r5vqv5sp-renault-sandero-at-1397,1,355000000
2634,لیفان,820,88000,2016,https://bama.ir/car/detail-vbt1mdse-lifan-820-1395,1,450000000
2635,جک,جی 4,0,2020,https://bama.ir/car/detail-x6j9q8ft-jac-j4-1399,1,325000000
2636,پژو,پارس,146000,2013,https://bama.ir/car/detail-fgb1rqv2-peugeot-pars-cng-1392,4,130000000
2637,سمند,LX,5000,2020,https://bama.ir/car/detail-yewoe3o-samand-lx-ef7-1399,1,198000000
2638,ب ام و,سری 5 سدان,64000,2014,https://bama.ir/car/detail-x77g853m-bmw-5-series-sedan-528i-2014,1,2500000000
2639,مزدا,2,100000,2011,https://bama.ir/car/detail-u36f3qe2-mazda-2-ir-1390,2,355000000
2640,پراید,صندوق دار,500000,2005,https://bama.ir/car/detail-7qac986c-pride-sedan-1384,4,50000000
2641,چری,آریزو 5TE  ,80000,2017,https://bama.ir/car/detail-kugbtgv2-chery-arrizo5te-at-excellent-1396,1,395000000
2642,ام جی,360,55000,2018,https://bama.ir/car/detail-58drta4-mg-360-at-turbo-1397,1,405000000
2643,کیا,سراتو (مونتاژ),nan,2016,https://bama.ir/car/detail-ui8m9x9h-kia-cerato-ir-2000-basic-1395,1,505000000
2644,هیوندای,آزرا (گرنجور),329000,2007,https://bama.ir/car/detail-n9askz7-hyundai-azera-6cylinder-2007,1,505000000
2645,کیا,اپتیما,75000,2017,https://bama.ir/car/detail-op626vhs-kia-optima-gtline-2017,1,1490000000
2646,رنو,مگان (مونتاژ),200000,2012,https://bama.ir/car/detail-274ip36y-renault-megan-ir-2000-1391,1,390000000
2647,سمند,LX,0,2021,https://bama.ir/car/detail-n7axpnwj-samand-lx-ef7-1400,1,217000000
2648,رنو,تندر90 ,39000,2017,https://bama.ir/car/detail-r9cvjij8-renault-tondar90-e2-1396,1,245000000
2649,پژو,206 ,70000,2015,https://bama.ir/car/detail-ymv5zu3y-peugeot-206-ir-type5-1394,1,168000000
2650,سمند,LX,95000,2015,https://bama.ir/car/detail-abht1nsk-samand-lx-basic-1394,1,135000000
2651,هیوندای,آزرا (گرنجور),81000,2010,https://bama.ir/car/detail-bue44nt4-hyundai-azera-6cylinder-2010,1,950000000
2652,جک,S5,68000,2016,https://bama.ir/car/detail-4f7oj26s-jac-s5-mt-1395,5,425000000
2653,جک,جی 4,0,2020,https://bama.ir/car/detail-obupz8ju-jac-j4-1399,1,320000000
2654,هیوندای,سوناتا,165000,2011,https://bama.ir/car/detail-mana2-hyundai-sonata-4cyl-automatic-2011,4,630000000
2655,کیا,اسپورتیج,70000,2016,https://bama.ir/car/detail-osujp8ix-kia-sportage-basic-2016,1,1120000000
2656,آلفارومئو,4C,nan,2016,https://bama.ir/car/detail-4e3biz37-alfa-romeo-4c-2016,1,5500000000
2657,هیوندای,سوناتا,17000,2017,https://bama.ir/car/detail-ysqedqm5-hyundai-sonata-4cyl-automatic-2017,1,1430000000
2658,هیوندای,i20,63000,2015,https://bama.ir/car/detail-8yikc4ub-hyundai-i20-2015,1,475000000
2659,سیتروئن,زانتیا,380000,2002,https://bama.ir/car/detail-3pfr91ox-citroen-xantia-2.0-sx-1381,12,90000000
2660,پژو,پارس,64000,2014,https://bama.ir/car/detail-s4hoxcf-peugeot-pars-cng-1393,1,155000000
2661,نیسان,ماکسیما ,nan,2004,https://bama.ir/car/detail-pka3tr4s-nissan-maxima-ir-mt-1383,3,380000000
2662,جک,جی 5,160000,2015,https://bama.ir/car/detail-ougne8ao-jac-j5-at-1394,4,220000000
2663,لکسوس,RX,77000,2012,https://bama.ir/car/detail-tgr48915-lexus-rx-350-2012,2,2400000000
2664,هیوندای,آزرا (گرنجور),182000,2010,https://bama.ir/car/detail-bs6t3h9d-hyundai-azera-6cylinder-2010,3,685000000
2665,هیوندای,سانتافه (ix45),125000,2014,https://bama.ir/car/detail-f1uhm8be-hyundai-santafe-ix45-2400cc-2014,1,1240000000
2666,جک,S5,25500,2017,https://bama.ir/car/detail-n8wqpz61-jac-s5-at-1396,1,525000000
2667,دنا,معمولی,60000,2017,https://bama.ir/car/detail-2je3c76-dena-1.7-1396,1,240000000
2668,رنو,تالیسمان,27000,2017,https://bama.ir/car/detail-zzqp7jhp-renault-talisman-e3-2017,1,1300000000
2669,هیوندای,سانتافه (ix45),24000,2017,https://bama.ir/car/detail-2zn3eck-hyundai-santafe-ix45-2400cc-2017,1,1760000000
2670,نیسان,ماکسیما ,108000,2010,https://bama.ir/car/detail-f2kupfzg-nissan-maxima-ir-at-1389,1,610000000
2671,ب ام و,سری 5 سدان,35000,2016,https://bama.ir/car/detail-v9c2jror-bmw-5-series-sedan-528i-2016,1,3080000000
2672,پژو,207,4000,2018,https://bama.ir/car/detail-xeobecfi-peugeot-207-at-1397,1,340000000
2673,ب ام و,سری 5 سدان,35000,2016,https://bama.ir/car/detail-v9c2jror-bmw-5-series-sedan-528i-2016,1,3080000000
2674,پژو,207,4000,2018,https://bama.ir/car/detail-xeobecfi-peugeot-207-at-1397,1,340000000
2675,کیا,سورنتو,15200,2017,https://bama.ir/car/detail-ynyw6tti-kia-sorento-gtline-2017,1,2400000000
2676,هیوندای,النترا,9000,2018,https://bama.ir/car/detail-5d26ppy-hyundai-elantra-2.0l-2018,1,1050000000
